Classifier,Accuracy,Log Loss
kNN,88.48484848484847,2.0154414269065226
GaussianNB,61.11111111111111,13.40455509037896
DecisionTree,69.2929292929293,10.605846488942367
Bagging,92.72727272727272,0.8977061448397914
AdamBoost,6.363636363636364,4.251604617408904
RandomForest,97.17171717171716,0.7232763549006894
SVM_Linear,95.75757575757576,2.19161251181788
SVM_Poly,94.04040404040404,2.314229216471203
SVM_RBF,93.53535353535352,2.2039104011587183
SVM_Sigmoid,80.1010101010101,4.645515536300033
LDA,97.77777777777776,0.3496877802308901
